unit,segment,start_ms,harmonic,frequency_start_hz,frequency_end_hz,amplitude_start,amplitude_end,phase_rad,role
ㄱㅑ,voicing_onset,40.0,2,880.0,880.0,0.21821383,0.10089786,1.9645602,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,3,1320.0,1320.0,0.10725828,0.11616583,5.28376475,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,4,1760.0,1760.0,0.1519093,0.10775172,4.85770722,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,5,2200.0,2200.0,0.81732069,0.09883253,5.53399015,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,6,2640.0,2640.0,0.48611983,0.09095511,2.98816885,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,7,3080.0,3080.0,0.14716299,0.08613604,0.98399931,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,8,3520.0,3520.0,0.41176081,0.36045139,4.21352924,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,9,3960.0,3960.0,0.40178178,0.71290245,4.92677372,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,10,4400.0,4400.0,0.11349521,0.37791099,2.40957998,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,11,4840.0,4840.0,0.05061049,0.36560661,0.99340981,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,12,5280.0,5280.0,0.04301429,0.1134196,4.07554718,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,13,5720.0,5720.0,0.0358606,0.04131279,4.93045457,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,14,6160.0,6160.0,0.03377693,0.03665216,2.57278217,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,15,6600.0,6600.0,0.02942396,0.03191332,3.77971121,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,16,7040.0,7040.0,0.02862994,0.0310521,2.75548487,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,17,7480.0,7480.0,0.02103311,0.02281256,1.7191134,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,18,7920.0,7920.0,0.01919493,0.02081887,3.33565115,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,19,8360.0,8360.0,0.01749713,0.01897743,2.12616898,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,20,8800.0,8800.0,0.01640588,0.01779386,2.45905347,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,21,9240.0,9240.0,0.01373789,0.01490014,0.44673922,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,22,9680.0,9680.0,0.01238009,0.01342748,3.38869988,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,23,10120.0,10120.0,0.01058889,0.01148474,5.72776762,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,24,10560.0,10560.0,0.01014043,0.01099833,0.12701805,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,25,11000.0,11000.0,0.00614103,0.00666058,0.1359916,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,26,11440.0,11440.0,0.00562148,0.00609707,5.63129258,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,27,11880.0,11880.0,0.00462564,0.00501698,4.32908858,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,28,12320.0,12320.0,0.00408832,0.0044342,1.12192015,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,29,12760.0,12760.0,0.00347002,0.00376359,0.33132819,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,30,13200.0,13200.0,0.00322129,0.00349382,4.87917028,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,31,13640.0,13640.0,0.00283674,0.00307674,1.06199847,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,32,14080.0,14080.0,0.00261263,0.00283367,1.02245115,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,33,14520.0,14520.0,0.002274,0.00246638,4.02347495,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,34,14960.0,14960.0,0.00189956,0.00206027,4.23601248,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,35,15400.0,15400.0,0.00172871,0.00187496,0.20621543,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,36,15840.0,15840.0,0.001601,0.00173645,0.81592916,clear_assertive_harmonic
ㄱㅑ,voicing_onset,40.0,F1,600,360,0.058,0.058,4.37597357,clarity_formant_anchor
ㄱㅑ,voicing_onset,40.0,F2,2350,3850,0.049,0.049,5.9455228,clarity_formant_anchor
ㄱㅑ,voicing_onset,40.0,F3,3750,4700,0.031,0.031,5.3413414,clarity_formant_anchor
ㄱㅑ,vowel_body,87.977,1,440.0,440.0,1.06121323,0.1111537,0.19622172,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,2,880.0,880.0,0.10376535,0.73619752,3.85405693,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,3,1320.0,1320.0,0.11474798,0.22171376,1.88517841,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,4,1760.0,1760.0,0.11000471,0.90482402,5.05865115,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,5,2200.0,2200.0,0.0998619,0.49672254,1.71023296,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,6,2640.0,2640.0,0.0899944,0.08895577,1.27692774,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,7,3080.0,3080.0,0.08933615,0.08228793,2.83147806,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,8,3520.0,3520.0,0.36505054,0.18971292,2.590754,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,9,3960.0,3960.0,0.71440857,0.44926343,0.76879111,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,10,4400.0,4400.0,0.38056243,0.26542922,2.39824599,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,11,4840.0,4840.0,0.36323819,0.06626467,4.84231497,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,12,5280.0,5280.0,0.11572856,0.0430421,4.38541144,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,13,5720.0,5720.0,0.04091778,0.03457716,2.5826547,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,14,6160.0,6160.0,0.03591554,0.03222079,3.32264283,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,15,6600.0,6600.0,0.03132887,0.02811946,4.58803125,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,16,7040.0,7040.0,0.03084597,0.02768606,5.10201246,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,17,7480.0,7480.0,0.02276654,0.0204343,3.0999866,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,18,7920.0,7920.0,0.02094736,0.01880148,3.09782202,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,19,8360.0,8360.0,0.01904969,0.0170982,1.52027,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,20,8800.0,8800.0,0.01764072,0.01583357,6.16027894,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,21,9240.0,9240.0,0.01484054,0.01332025,3.81148445,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,22,9680.0,9680.0,0.01335888,0.01199038,0.57320651,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,23,10120.0,10120.0,0.01136989,0.01020514,4.09883675,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,24,10560.0,10560.0,0.01084484,0.00973387,6.26568622,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,25,11000.0,11000.0,0.00662984,0.00595066,4.80954572,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,26,11440.0,11440.0,0.00592315,0.00531637,0.46976936,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,27,11880.0,11880.0,0.00505124,0.00453378,0.91161686,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,28,12320.0,12320.0,0.00455218,0.00408585,4.22934238,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,29,12760.0,12760.0,0.0037314,0.00334915,1.64622119,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,30,13200.0,13200.0,0.00352067,0.00316001,0.76038142,clear_assertive_harmonic
ㄱㅑ,vowel_body,87.977,31,13640.0,13640.0,0.0031272,0.00280685,4.26499836,clear_assertive_harmonic
