unit,segment,start_ms,duration_ms,center_hz,width_hz,peak_level,seed
ㅂㅘ,burst,18.0,22.0,900,700,0.06498,12119211092018001735
ㅂㅘ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,14681170129858808948
ㅂㅙ,burst,18.0,22.0,900,700,0.06498,5142551775767171450
ㅂㅙ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,10232752276461570026
ㅂㅚ,burst,18.0,22.0,900,700,0.06498,6477534929761122365
ㅂㅚ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,17859472763187318837
ㅂㅛ,burst,18.0,22.0,900,700,0.06498,9564397068165621140
ㅂㅛ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,1379728071139555294
ㅂㅜ,burst,18.0,22.0,900,700,0.06498,7581552046521276095
ㅂㅜ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,3363008526357226692
ㅂㅝ,burst,18.0,22.0,900,700,0.06498,342802924340903055
ㅂㅝ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,17187512469611643566
ㅂㅞ,burst,18.0,22.0,900,700,0.06498,13321433396696918313
ㅂㅞ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,7057596408333219244
ㅂㅟ,burst,18.0,22.0,900,700,0.06498,11947119850756287030
ㅂㅟ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,9017672883567367980
ㅂㅠ,burst,18.0,22.0,900,700,0.06498,9722836733663034797
ㅂㅠ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,13620111583000556446
ㅂㅡ,burst,18.0,22.0,900,700,0.06498,9629573683892303165
ㅂㅡ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,10495695756293919880
ㅂㅢ,burst,18.0,22.0,900,700,0.06498,4392566392811770850
ㅂㅢ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,716335486524911991
ㅂㅣ,burst,18.0,22.0,900,700,0.06498,15472371319736366367
ㅂㅣ,aspiration,32.0,15.64,1125.0,945.0000000000001,0.035739,1083813288747052472
ㅃㅏ,burst,10.0,22.0,1150,650,0.0987696,8509405260882681343
ㅃㅏ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,5550786359445243102
ㅃㅐ,burst,10.0,22.0,1150,650,0.0987696,16068534686098512136
ㅃㅐ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,6807712895213298341
ㅃㅑ,burst,10.0,22.0,1150,650,0.0987696,18018640992148402579
ㅃㅑ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,4737734360816952976
ㅃㅒ,burst,10.0,22.0,1150,650,0.0987696,691508766017880257
ㅃㅒ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,14855451754767198555
ㅃㅓ,burst,10.0,22.0,1150,650,0.0987696,13572036012125315375
ㅃㅓ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,11362973057629219939
ㅃㅔ,burst,10.0,22.0,1150,650,0.0987696,1298791569532503349
ㅃㅔ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,6280901439361879926
ㅃㅕ,burst,10.0,22.0,1150,650,0.0987696,7487148727739913586
ㅃㅕ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,11406247893841886306
ㅃㅖ,burst,10.0,22.0,1150,650,0.0987696,2962338871692730815
ㅃㅖ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,11322219754000811636
ㅃㅗ,burst,10.0,22.0,1150,650,0.0987696,6503526360885443570
ㅃㅗ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,16600063375543423998
ㅃㅘ,burst,10.0,22.0,1150,650,0.0987696,3309798941355791503
ㅃㅘ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,4732868372100205626
ㅃㅙ,burst,10.0,22.0,1150,650,0.0987696,3475807085291739731
ㅃㅙ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,14840480606276094331
ㅃㅚ,burst,10.0,22.0,1150,650,0.0987696,10998140969732983406
ㅃㅚ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,14146815696987286978
ㅃㅛ,burst,10.0,22.0,1150,650,0.0987696,3352921416979418634
ㅃㅛ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,9741876498811922230
ㅃㅜ,burst,10.0,22.0,1150,650,0.0987696,10108830929691645578
ㅃㅜ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,9067733694949799459
ㅃㅝ,burst,10.0,22.0,1150,650,0.0987696,9778644663630475426
ㅃㅝ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,17104870165345194459
ㅃㅞ,burst,10.0,22.0,1150,650,0.0987696,12121004210303442621
ㅃㅞ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,12571170594395324766
ㅃㅟ,burst,10.0,22.0,1150,650,0.0987696,18038553641260658293
ㅃㅟ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,10334271414373396721
ㅃㅠ,burst,10.0,22.0,1150,650,0.0987696,9137964758247991729
ㅃㅠ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,2874526744836865608
ㅃㅡ,burst,10.0,22.0,1150,650,0.0987696,6492535343435994966
ㅃㅡ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,13890129246456461543
ㅃㅢ,burst,10.0,22.0,1150,650,0.0987696,7809055061723310585
ㅃㅢ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,9802915341771672985
ㅃㅣ,burst,10.0,22.0,1150,650,0.0987696,12114846916728498696
ㅃㅣ,aspiration,24.0,11.96,1437.5,877.5000000000001,0.05432328,11097023750492250285
ㅅㅏ,friction,0.0,72.8,6180.0,2100,0.0640224,13549377438598363107
ㅅㅐ,friction,0.0,72.8,6180.0,2100,0.0640224,5015706724917359815
ㅅㅑ,friction,0.0,72.8,6180.0,2100,0.0640224,164824269206259961
ㅅㅒ,friction,0.0,72.8,6180.0,2100,0.0640224,18158861363498782139
ㅅㅓ,friction,0.0,72.8,6180.0,2100,0.0640224,13273772519784553197
ㅅㅔ,friction,0.0,72.8,6180.0,2100,0.0640224,1977252433567332093
ㅅㅕ,friction,0.0,72.8,6180.0,2100,0.0640224,5458023006681092286
ㅅㅖ,friction,0.0,72.8,6180.0,2100,0.0640224,16520315735762247507
ㅅㅗ,friction,0.0,72.8,6180.0,2100,0.0640224,10272369950836523893
ㅅㅘ,friction,0.0,72.8,6180.0,2100,0.0640224,18315675110860334808
ㅅㅙ,friction,0.0,72.8,6180.0,2100,0.0640224,12150118058548011648
ㅅㅚ,friction,0.0,72.8,6180.0,2100,0.0640224,15467519791000237672
ㅅㅛ,friction,0.0,72.8,6180.0,2100,0.0640224,14824060241606435319
ㅅㅜ,friction,0.0,72.8,6180.0,2100,0.0640224,2614648413383493432
ㅅㅝ,friction,0.0,72.8,6180.0,2100,0.0640224,10342706714065235945
ㅅㅞ,friction,0.0,72.8,6180.0,2100,0.0640224,5058784619957156157
ㅅㅟ,friction,0.0,72.8,6180.0,2100,0.0640224,17557143216237277672
ㅅㅠ,friction,0.0,72.8,6180.0,2100,0.0640224,17707071291964339193
ㅅㅡ,friction,0.0,72.8,6180.0,2100,0.0640224,11840884028734556538
ㅅㅢ,friction,0.0,72.8,6180.0,2100,0.0640224,15437590760576475011
ㅅㅣ,friction,0.0,72.8,6180.0,2100,0.0640224,17921908585378225624
ㅆㅏ,friction,0.0,85.28,7107.0,1800,0.0935712,16142674865732421280
ㅆㅐ,friction,0.0,85.28,7107.0,1800,0.0935712,11247815886418769103
ㅆㅑ,friction,0.0,85.28,7107.0,1800,0.0935712,11946205427116705737
ㅆㅒ,friction,0.0,85.28,7107.0,1800,0.0935712,11105988451995631141
ㅆㅓ,friction,0.0,85.28,7107.0,1800,0.0935712,13580653008654136419
ㅆㅔ,friction,0.0,85.28,7107.0,1800,0.0935712,17272329787973982415
ㅆㅕ,friction,0.0,85.28,7107.0,1800,0.0935712,2766515369292287243
ㅆㅖ,friction,0.0,85.28,7107.0,1800,0.0935712,3294728032661001788
ㅆㅗ,friction,0.0,85.28,7107.0,1800,0.0935712,11816067755865071731
ㅆㅘ,friction,0.0,85.28,7107.0,1800,0.0935712,3306073782606875463
ㅆㅙ,friction,0.0,85.28,7107.0,1800,0.0935712,3180156770894087894
ㅆㅚ,friction,0.0,85.28,7107.0,1800,0.0935712,16177238142809665617
ㅆㅛ,friction,0.0,85.28,7107.0,1800,0.0935712,13750535535404827941
ㅆㅜ,friction,0.0,85.28,7107.0,1800,0.0935712,5539437879431716895
ㅆㅝ,friction,0.0,85.28,7107.0,1800,0.0935712,13227825790848591875
ㅆㅞ,friction,0.0,85.28,7107.0,1800,0.0935712,5120916561036221080
ㅆㅟ,friction,0.0,85.28,7107.0,1800,0.0935712,8894200819187399079
ㅆㅠ,friction,0.0,85.28,7107.0,1800,0.0935712,9110675769512477457
ㅆㅡ,friction,0.0,85.28,7107.0,1800,0.0935712,16489137519928851677
ㅆㅢ,friction,0.0,85.28,7107.0,1800,0.0935712,1309518409109670097
ㅆㅣ,friction,0.0,85.28,7107.0,1800,0.0935712,4361949561086022700
ㅈㅏ,affrication,12.0,55.0,4429.0,1700,0.07458336,4694515297884239886
ㅈㅐ,affrication,12.0,55.0,4429.0,1700,0.07458336,10362269860239571726
ㅈㅑ,affrication,12.0,55.0,4429.0,1700,0.07458336,1546487650349449738
ㅈㅒ,affrication,12.0,55.0,4429.0,1700,0.07458336,12242366227470166179
ㅈㅓ,affrication,12.0,55.0,4429.0,1700,0.07458336,4773751627772356607
ㅈㅔ,affrication,12.0,55.0,4429.0,1700,0.07458336,8380128899502595596
ㅈㅕ,affrication,12.0,55.0,4429.0,1700,0.07458336,9178390637837937922
ㅈㅖ,affrication,12.0,55.0,4429.0,1700,0.07458336,17580218005176315885
ㅈㅗ,affrication,12.0,55.0,4429.0,1700,0.07458336,4395204609510502071
